claim_id,policy_id,claim_date,decision_date,claim_amount,claim_status,claim_type
CLM0000031,POL000771,2024-03-26,2024-04-03,3492.75,Approved,Water Damage
CLM0000032,POL001428,2025-09-19,2025-10-03,4809.47,Approved,Theft
CLM0000033,POL000911,2024-08-23,2024-08-26,9288.41,Approved,Water Damage
CLM0000034,POL000576,2026-07-18,,3449.45,Pending,Fire
CLM0000035,POL000393,2025-03-18,2025-04-08,7180.63,Denied,Fire
CLM0000036,POL001471,2026-07-03,2026-07-21,6754.85,Approved,Fire
CLM0000037,POL000076,2022-08-16,2022-09-10,7095.04,Approved,Wind
CLM0000038,POL001242,2026-03-26,2026-04-24,8181.74,Approved,Wind
CLM0000039,POL000812,2025-02-16,,14680.69,Pending,Injury
CLM0000040,POL001025,2022-12-08,2022-12-17,2205.86,Approved,Wind
CLM0000041,POL001159,2026-07-18,2026-08-08,9016.91,Approved,Theft
CLM0000042,POL000134,2023-09-03,2023-09-08,2858.98,Approved,Theft
CLM0000043,POL000532,2026-07-18,,3812.52,Pending,Injury
CLM0000044,POL001493,2023-11-29,2023-12-23,1331.77,Approved,Collision
CLM0000045,POL001420,2024-05-12,2024-05-23,4460.4,Approved,Wind
CLM0000046,POL001148,2026-07-18,2026-08-03,9176.1,Approved,Wind
CLM0000047,POL001379,2026-07-18,2026-07-31,5849.68,Approved,Flood
CLM0000048,POL000834,2022-12-31,2023-01-19,6323.63,Approved,Flood
CLM0000049,POL001015,2026-05-20,2026-05-24,596.63,Approved,Wind
CLM0000050,POL000460,2024-09-28,2024-10-14,2592.29,Approved,Injury
CLM0000051,POL000920,2022-08-15,2022-08-24,2121.57,Approved,Fire
CLM0000052,POL000168,2026-07-18,2026-07-26,6593.22,Denied,Wind
CLM0000053,POL000868,2023-09-06,,1427.07,Pending,Theft
CLM0000054,POL000337,2026-05-15,2026-06-07,19129.81,Approved,Wind
CLM0000055,POL000199,2023-02-26,2023-03-26,3675.3,Approved,Collision
CLM0000056,POL001214,2026-07-18,,1390.39,Pending,Water Damage
CLM0000057,POL000513,2023-11-17,2023-11-27,2401.25,Approved,Fire
CLM0000058,POL000112,2026-02-06,2026-02-16,7982.58,Approved,Collision
CLM0000059,POL001229,2023-10-27,2023-11-02,3666.49,Approved,Wind
CLM0000060,POL000915,2026-07-18,2026-07-22,1163.84,Approved,Collision
CLM0000061,POL000773,2023-06-07,,1050.7,Pending,Wind
CLM0000062,POL000134,2022-05-19,2022-06-16,6445.23,Approved,Flood
CLM0000063,POL000113,2024-04-20,2024-05-06,5772.86,Approved,Collision
CLM0000064,POL000209,2025-07-19,2025-07-23,1709.05,Approved,Fire
CLM0000065,POL000782,2024-03-06,2024-04-02,5198.59,Approved,Flood
CLM0000066,POL000478,2025-09-06,2025-09-26,4036.18,Denied,Collision
CLM0000067,POL000929,2023-05-21,2023-06-06,1815.11,Approved,Injury
CLM0000068,POL001269,2026-02-22,2026-03-18,11879.35,Approved,Water Damage
CLM0000069,POL000054,2023-08-12,2023-09-02,9447.75,Approved,Theft
CLM0000070,POL000222,2025-07-27,2025-08-21,7049.95,Approved,Collision
CLM0000071,POL001215,2022-03-31,,7995.65,Pending,Theft
CLM0000072,POL001306,2026-07-18,2026-08-03,7537.04,Approved,Flood
CLM0000073,POL001485,2026-07-18,2026-07-28,3207.75,Approved,Theft
CLM0000074,POL000091,2023-09-16,2023-10-07,4322.2,Approved,Flood
CLM0000075,POL001051,2026-03-19,2026-03-29,9272.04,Denied,Injury
CLM0000076,POL001109,2022-10-18,2022-10-30,2377.34,Approved,Injury
CLM0000077,POL000703,2023-02-02,2023-02-05,8418.01,Approved,Injury
CLM0000078,POL001202,2024-08-08,2024-08-12,4469.3,Approved,Theft
CLM0000079,POL001039,2024-10-17,,1517.23,Pending,Flood
CLM0000080,POL000705,2023-12-12,,7893.69,Pending,Wind
CLM0000081,POL000413,2026-07-18,2026-08-11,6216.43,Approved,Flood
CLM0000082,POL001423,2026-07-18,,4883.89,Pending,Injury
CLM0000083,POL001419,2022-08-04,,7702.5,Pending,Injury
CLM0000084,POL000688,2024-05-27,2024-06-09,5486.15,Approved,Theft
CLM0000085,POL000215,2023-11-13,,3636.03,Pending,Collision
CLM0000086,POL001016,2022-08-24,,6072.35,Pending,Wind
CLM0000087,POL000457,2025-03-29,2025-04-20,9974.36,Approved,Theft
CLM0000088,POL000490,2026-04-21,2026-05-02,15716.62,Denied,Water Damage
CLM0000089,POL000770,2024-08-04,2024-09-02,9210.7,Approved,Collision
CLM0000090,POL000744,2022-07-16,2022-07-19,12318.44,Approved,Injury
CLM0000091,POL000236,2022-08-26,2022-09-04,2850.63,Approved,Wind
CLM0000092,POL001200,2024-10-18,2024-10-21,17439.24,Approved,Theft
CLM0000093,POL000406,2025-03-01,2025-03-12,2942.46,Approved,Wind
CLM0000094,POL000357,2023-10-03,2023-10-11,6295.44,Denied,Theft
CLM0000095,POL000402,2026-03-15,2026-03-26,5498.92,Approved,Collision
CLM0000096,POL000043,2024-06-12,2024-07-05,1205.78,Approved,Water Damage
CLM0000097,POL000228,2022-09-19,,9354.98,Pending,Fire
CLM0000098,POL000935,2024-03-30,2024-04-13,3625.22,Approved,Wind
CLM0000099,POL000351,2023-03-13,,2164.42,Pending,Injury
CLM0000100,POL000889,2026-07-18,2026-07-25,5925.06,Approved,Theft
CLM0000101,POL000389,2024-08-01,2024-08-26,2953.07,Approved,Fire
CLM0000102,POL000652,2024-07-12,2024-08-04,8988.05,Approved,Theft
CLM0000103,POL000095,2026-06-07,2026-07-07,3341.34,Approved,Injury
CLM0000104,POL000603,2022-12-14,2022-12-18,4259.65,Approved,Wind
CLM0000105,POL000574,2023-09-11,,11630.81,Pending,Injury
CLM0000106,POL001002,2026-07-18,2026-08-03,2979.94,Denied,Water Damage
CLM0000107,POL001359,2024-09-26,2024-10-15,4418.87,Approved,Flood
CLM0000108,POL001322,2025-07-24,2025-08-12,10026.18,Approved,Flood
CLM0000109,POL000367,2022-12-20,2023-01-06,5751.41,Denied,Wind
CLM0000110,POL000990,2023-04-01,2023-04-22,1907.15,Approved,Flood
CLM0000111,POL001307,2025-08-11,2025-08-20,1134.08,Approved,Theft
CLM0000112,POL000416,2026-02-20,,2777.98,Pending,Flood
CLM0000113,POL000448,2024-11-25,2024-12-10,6516.24,Approved,Injury
CLM0000114,POL000322,2023-02-07,2023-02-12,12148.36,Approved,Theft
CLM0000115,POL000173,2023-09-01,2023-09-15,9788.73,Approved,Theft
CLM0000116,POL001196,2024-03-31,2024-04-22,2283.16,Approved,Fire
CLM0000117,POL000873,2024-08-03,2024-08-19,3724.85,Approved,Fire
CLM0000118,POL001019,2023-05-22,2023-05-25,11822.75,Approved,Theft
CLM0000119,POL000905,2024-01-06,2024-01-11,792.38,Approved,Fire
CLM0000120,POL000169,2023-08-29,2023-09-15,5093.67,Denied,Injury
CLM0000121,POL001319,2023-10-16,2023-10-24,2261.79,Denied,Collision
CLM0000122,POL000243,2024-09-25,2024-10-15,12526.47,Approved,Theft
CLM0000123,POL000684,2022-02-09,2022-02-20,11360.22,Approved,Fire
CLM0000124,POL001400,2023-04-06,2023-04-28,5726.81,Approved,Theft
CLM0000125,POL001467,2025-05-31,,3272.83,Pending,Collision
CLM0000126,POL000614,2024-12-23,2025-01-05,14168.37,Denied,Flood
CLM0000127,POL001188,2023-09-23,2023-10-16,2537.85,Approved,Injury
CLM0000128,POL000306,2026-07-18,2026-08-13,6366.11,Approved,Wind
CLM0000129,POL000430,2024-09-13,2024-10-04,4549.48,Approved,Water Damage
CLM0000130,POL001132,2024-04-10,2024-04-25,10542.49,Denied,Fire
CLM0000131,POL000176,2024-12-15,2024-12-29,836.1,Denied,Water Damage
CLM0000132,POL001430,2025-02-21,2025-03-10,6891.34,Approved,Water Damage
CLM0000133,POL001144,2024-08-05,2024-08-26,8148.38,Approved,Water Damage
CLM0000134,POL000263,2024-09-21,,11654.96,Pending,Collision
CLM0000135,POL001024,2026-07-18,2026-07-29,3212.45,Denied,Theft
CLM0000136,POL000859,2026-04-16,2026-05-01,2873.98,Approved,Water Damage
CLM0000137,POL001415,2025-08-06,2025-08-27,2460.06,Approved,Collision
CLM0000138,POL001163,2025-08-05,,2663.33,Pending,Theft
CLM0000139,POL000677,2025-08-17,2025-09-08,12519.69,Approved,Injury
CLM0000140,POL001176,2023-11-06,,7187.39,Pending,Theft
CLM0000141,POL000801,2023-05-02,2023-05-11,905.51,Approved,Flood
CLM0000142,POL000223,2024-08-02,2024-08-19,6011.83,Approved,Wind
CLM0000143,POL000624,2025-08-21,2025-09-14,1586.99,Approved,Injury
CLM0000144,POL000364,2026-06-14,2026-07-04,4470.05,Denied,Flood
CLM0000145,POL000055,2022-09-29,2022-10-14,4376.18,Approved,Fire
CLM0000146,POL000422,2023-09-27,2023-10-16,4568.11,Approved,Collision
CLM0000147,POL000932,2024-07-08,2024-07-11,2246.42,Approved,Theft
CLM0000148,POL000670,2023-04-03,2023-04-09,5931.68,Approved,Theft
CLM0000149,POL001099,2025-11-20,2025-11-25,7343.14,Approved,Flood
CLM0000150,POL000423,2023-02-23,,1340.79,Pending,Fire
CLM0000151,POL000886,2026-07-18,2026-07-26,4788.37,Approved,Injury
CLM0000152,POL001178,2026-06-20,2026-07-09,4728.42,Approved,Wind
CLM0000153,POL001403,2023-12-16,2023-12-19,6496.58,Approved,Theft
CLM0000154,POL000913,2022-04-01,2022-04-21,4638.64,Denied,Water Damage
CLM0000155,POL000506,2026-07-18,2026-08-08,592.96,Approved,Flood
CLM0000156,POL000943,2025-07-14,2025-08-09,8013.69,Approved,Collision
CLM0000157,POL000590,2023-06-22,,7330.33,Pending,Flood
CLM0000158,POL000711,2026-07-18,2026-07-28,3008.78,Denied,Flood
CLM0000159,POL001256,2025-09-13,2025-09-21,3377.07,Approved,Injury
CLM0000160,POL000885,2024-05-25,2024-06-18,2733.53,Approved,Theft
CLM0000161,POL001431,2023-10-27,2023-11-21,7805.92,Approved,Collision
CLM0000162,POL000491,2023-01-04,2023-01-27,3734.37,Approved,Injury
CLM0000163,POL000598,2025-05-31,,3218.06,Pending,Wind
CLM0000164,POL001488,2024-02-12,,8037.23,Pending,Flood
CLM0000165,POL001133,2023-05-13,,8870.06,Pending,Collision
CLM0000166,POL000216,2025-05-10,2025-05-21,1005.11,Denied,Flood
CLM0000167,POL000924,2024-01-18,2024-02-06,7675.98,Approved,Collision
CLM0000168,POL000947,2025-12-08,2026-01-02,362.41,Approved,Wind
CLM0000169,POL000946,2026-07-18,2026-08-02,3263.16,Approved,Water Damage
CLM0000170,POL000399,2023-11-25,2023-12-06,4055.66,Approved,Collision
CLM0000171,POL001453,2026-07-18,2026-08-13,9751.89,Approved,Flood
CLM0000172,POL000993,2025-12-12,2026-01-01,6848.66,Approved,Wind
CLM0000173,POL000497,2024-09-04,2024-10-03,808.61,Approved,Fire
CLM0000174,POL000331,2023-01-03,2023-01-23,4743.19,Denied,Collision
CLM0000175,POL000363,2023-07-01,2023-07-27,11915.59,Approved,Flood
CLM0000176,POL000345,2026-03-07,2026-03-10,5306.59,Approved,Wind
CLM0000177,POL000560,2022-11-01,2022-11-09,3352.91,Approved,Theft
CLM0000178,POL001464,2023-11-24,,9710.09,Pending,Injury
CLM0000179,POL000443,2025-09-24,2025-10-23,4598.09,Approved,Wind
CLM0000180,POL001071,2026-07-18,2026-08-11,5517.56,Approved,Collision
CLM0000181,POL000800,2024-12-13,2024-12-17,1087.98,Approved,Injury
CLM0000182,POL000010,2021-09-25,2021-10-02,3866.76,Denied,Theft
CLM0000183,POL000768,2024-09-05,2024-09-08,14896.79,Approved,Flood
CLM0000184,POL000058,2024-07-25,2024-08-03,5130.25,Approved,Wind
CLM0000185,POL001371,2024-10-21,2024-10-27,2023.06,Approved,Water Damage
CLM0000186,POL001361,2026-04-19,2026-04-21,4716.87,Denied,Flood
CLM0000187,POL001050,2023-04-18,2023-04-29,1598.76,Denied,Injury
CLM0000188,POL001284,2025-04-26,2025-05-16,4373.88,Approved,Flood
CLM0000189,POL000877,2022-07-23,2022-07-29,2558.18,Approved,Fire
CLM0000190,POL000663,2025-04-29,2025-05-22,1893.2,Approved,Fire
CLM0000191,POL000025,2026-06-10,2026-06-20,3719.44,Approved,Collision
CLM0000192,POL001348,2026-05-31,2026-06-14,7300.91,Approved,Collision
CLM0000193,POL000138,2023-03-17,2023-04-13,5903.58,Approved,Injury
CLM0000194,POL001024,2026-06-02,2026-06-21,291.61,Denied,Theft
CLM0000195,POL000516,2024-10-30,2024-11-22,5017.6,Approved,Wind
CLM0000196,POL000796,2025-05-11,,16467.89,Pending,Water Damage
CLM0000197,POL001421,2024-01-30,2024-02-22,1597.48,Approved,Water Damage
CLM0000198,POL001409,2024-08-11,,5905.82,Pending,Wind
CLM0000199,POL000988,2026-01-01,2026-01-23,5274.83,Approved,Injury
CLM0000200,POL000920,2022-10-22,2022-11-17,11185.08,Approved,Theft
CLM0000201,POL001032,2024-10-21,2024-10-22,6826.04,Denied,Theft
CLM0000202,POL000044,2026-07-18,2026-07-22,5824.7,Denied,Fire
CLM0000203,POL000485,2023-12-10,2023-12-30,2589.74,Denied,Collision
CLM0000204,POL000123,2025-07-30,2025-08-11,5723.01,Approved,Theft
CLM0000205,POL000311,2026-02-17,2026-02-21,6009.23,Approved,Theft
CLM0000206,POL001486,2023-10-04,,3108.06,Pending,Flood
CLM0000207,POL000674,2024-07-04,2024-07-27,2637.67,Approved,Water Damage
CLM0000208,POL000082,2025-06-08,2025-06-22,1813.7,Denied,Wind
CLM0000209,POL000591,2022-09-13,2022-10-09,1184.45,Approved,Fire
CLM0000210,POL000702,2024-05-30,2024-06-03,7098.72,Approved,Wind
CLM0000211,POL000509,2026-03-23,2026-04-02,2914.94,Approved,Injury
CLM0000212,POL000782,2024-07-06,2024-07-23,2310.97,Approved,Wind
CLM0000213,POL000013,2023-02-02,,577.9,Pending,Collision
CLM0000214,POL000395,2024-03-11,2024-03-18,491.04,Approved,Theft
CLM0000215,POL000258,2025-10-22,2025-11-11,8518.82,Approved,Water Damage
CLM0000216,POL000419,2026-07-18,2026-08-03,2703.98,Approved,Wind
CLM0000217,POL000957,2024-08-28,2024-09-06,4736.69,Approved,Theft
CLM0000218,POL000869,2026-07-18,2026-07-30,5032.49,Approved,Fire
CLM0000219,POL001181,2023-09-26,,807.71,Pending,Theft
CLM0000220,POL000557,2024-08-30,2024-09-13,11635.43,Approved,Flood
CLM0000221,POL000774,2026-07-03,2026-07-19,1661.26,Approved,Injury
CLM0000222,POL001249,2023-09-16,2023-10-02,15130.18,Denied,Collision
CLM0000223,POL000782,2024-04-01,,4832.4,Pending,Water Damage
CLM0000224,POL000615,2026-02-17,2026-03-09,2510.34,Approved,Wind
CLM0000225,POL000360,2025-02-16,2025-02-28,1537.12,Approved,Flood
CLM0000226,POL000581,2026-03-09,2026-03-27,7008.29,Approved,Collision
CLM0000227,POL000683,2024-12-06,2024-12-13,3720.43,Denied,Theft
CLM0000228,POL000389,2024-01-22,2024-02-10,2682.72,Approved,Wind
CLM0000229,POL001486,2023-02-17,2023-03-05,509.12,Approved,Flood
CLM0000230,POL000765,2025-05-22,2025-06-14,2448.59,Approved,Injury
CLM0000231,POL000146,2024-07-04,,4533.54,Pending,Collision
CLM0000232,POL000789,2026-07-18,2026-08-14,5509.45,Approved,Flood
CLM0000233,POL000523,2025-11-14,2025-12-02,892.11,Approved,Wind
CLM0000234,POL001411,2024-06-05,2024-06-28,618.87,Approved,Flood
CLM0000235,POL000869,2026-07-18,2026-07-22,260.63,Approved,Water Damage
CLM0000236,POL000741,2024-06-14,2024-06-15,2754.01,Denied,Wind
CLM0000237,POL001364,2025-12-20,2026-01-11,2177.63,Approved,Flood
CLM0000238,POL001395,2023-05-02,2023-05-24,7268.62,Approved,Injury
CLM0000239,POL001358,2023-02-24,2023-03-23,7381.36,Approved,Collision
CLM0000240,POL001320,2026-07-18,,2320.92,Pending,Flood
CLM0000241,POL001447,2026-07-18,,1311.91,Pending,Collision
CLM0000242,POL001062,2025-10-23,,4247.39,Pending,Theft
CLM0000243,POL000875,2024-10-03,2024-10-22,2330.3,Approved,Injury
CLM0000244,POL001349,2023-12-27,2024-01-22,1409.34,Approved,Flood
CLM0000245,POL001491,2025-08-22,2025-09-12,4363.43,Approved,Water Damage
CLM0000246,POL000706,2022-08-04,2022-08-13,830.25,Approved,Wind
CLM0000247,POL000816,2026-07-18,2026-07-26,5790.35,Approved,Water Damage
CLM0000248,POL001008,2023-06-03,2023-06-30,2678.28,Approved,Wind
CLM0000249,POL000856,2023-06-17,2023-06-29,4251.55,Approved,Wind
CLM0000250,POL000883,2023-03-19,2023-03-27,198.68,Approved,Wind
CLM0000251,POL000276,2023-06-14,2023-07-03,10977.44,Approved,Collision
CLM0000252,POL000923,2026-07-18,2026-07-24,8733.64,Denied,Theft
CLM0000253,POL000121,2024-05-30,2024-06-06,3105.75,Denied,Fire
CLM0000254,POL000838,2023-12-05,2023-12-27,2876.26,Approved,Collision
CLM0000255,POL001304,2022-07-27,2022-08-01,6914.21,Approved,Flood
CLM0000256,POL000256,2024-10-02,2024-10-05,4566.86,Approved,Injury
CLM0000257,POL000481,2026-07-18,2026-08-14,7859.5,Approved,Collision
CLM0000258,POL000020,2026-03-20,2026-03-23,844.8,Approved,Wind
CLM0000259,POL001193,2025-01-05,2025-01-24,2712.69,Approved,Water Damage
CLM0000260,POL000015,2023-08-26,2023-09-22,7955.49,Approved,Fire
CLM0000261,POL000996,2026-07-18,2026-08-07,2082.23,Denied,Flood
CLM0000262,POL000690,2023-04-06,2023-04-19,5407.39,Approved,Fire
CLM0000263,POL000491,2023-07-31,2023-08-15,3827.61,Approved,Injury
CLM0000264,POL000118,2025-08-12,,3948.57,Pending,Water Damage
CLM0000265,POL000206,2022-03-19,2022-04-13,6669.47,Approved,Flood
CLM0000266,POL001486,2022-06-21,2022-06-27,4642.16,Approved,Water Damage
CLM0000267,POL001087,2023-05-13,,4327.0,Pending,Water Damage
CLM0000268,POL000510,2026-07-18,2026-08-11,3465.56,Approved,Wind
CLM0000269,POL000974,2026-07-18,2026-07-27,1177.75,Approved,Collision
CLM0000270,POL001307,2024-11-16,2024-11-30,5131.07,Approved,Water Damage
CLM0000271,POL000094,2025-10-01,2025-10-11,6618.36,Approved,Injury
CLM0000272,POL000993,2025-10-10,2025-10-13,10362.34,Denied,Fire
CLM0000273,POL000877,2023-07-22,,2271.45,Pending,Water Damage
CLM0000274,POL001433,2022-06-30,2022-07-10,7577.59,Denied,Injury
CLM0000275,POL000400,2023-11-09,2023-11-28,11256.99,Approved,Injury
CLM0000276,POL001468,2024-10-28,2024-11-15,10208.89,Approved,Water Damage
CLM0000277,POL000179,2022-11-09,2022-11-27,2531.25,Denied,Water Damage
CLM0000278,POL000957,2024-04-04,,2734.38,Pending,Collision
CLM0000279,POL000988,2026-07-18,2026-07-28,7686.87,Approved,Theft
CLM0000280,POL000350,2024-03-13,2024-03-19,6740.58,Approved,Flood
CLM0000281,POL001466,2025-11-25,2025-12-08,5518.78,Approved,Flood
CLM0000282,POL000575,2026-07-18,2026-08-03,351.85,Denied,Wind
CLM0000283,POL000253,2025-06-09,2025-06-29,5667.42,Approved,Wind
CLM0000284,POL001486,2023-06-17,2023-07-12,3846.62,Approved,Fire
CLM0000285,POL000459,2026-07-18,2026-08-07,10333.52,Denied,Collision
CLM0000286,POL001319,2024-07-13,2024-08-07,3046.05,Approved,Wind
CLM0000287,POL001485,2026-07-18,2026-08-15,5824.68,Approved,Injury
CLM0000288,POL000895,2026-07-18,2026-07-24,1379.62,Approved,Fire
CLM0000289,POL000180,2025-08-01,2025-08-27,1378.31,Approved,Injury
CLM0000290,POL000386,2025-09-03,2025-09-10,6050.71,Approved,Water Damage
CLM0000291,POL000642,2024-07-24,2024-07-27,1100.65,Approved,Fire
CLM0000292,POL000127,2026-06-01,2026-07-01,2158.96,Approved,Flood
CLM0000293,POL000868,2024-05-14,2024-05-19,2319.62,Denied,Injury
CLM0000294,POL001360,2026-07-18,2026-07-24,2855.85,Approved,Flood
CLM0000295,POL000019,2026-07-18,,7005.41,Pending,Fire
CLM0000296,POL000297,2024-12-26,2025-01-11,1311.71,Denied,Wind
CLM0000297,POL000934,2022-06-27,2022-07-04,3252.03,Approved,Wind
CLM0000298,POL001363,2026-07-18,2026-07-31,8433.56,Approved,Fire
CLM0000299,POL001029,2026-07-18,2026-08-17,5179.88,Approved,Wind
CLM0000300,POL001176,2024-02-03,2024-02-12,2225.33,Approved,Flood
CLM0000301,POL000597,2024-04-08,,3560.31,Pending,Collision
CLM0000302,POL000683,2024-12-23,2024-12-30,3057.26,Denied,Water Damage
CLM0000303,POL000461,2025-02-13,2025-02-19,6367.99,Denied,Water Damage
CLM0000304,POL000999,2024-05-19,2024-06-17,6033.45,Approved,Wind
CLM0000305,POL000327,2025-06-12,2025-06-25,947.01,Approved,Flood
CLM0000306,POL001389,2026-07-18,,3338.61,Pending,Water Damage
CLM0000307,POL000802,2025-11-12,2025-12-08,4070.22,Approved,Fire
CLM0000308,POL000579,2025-12-21,,5060.53,Pending,Wind
CLM0000309,POL001123,2026-02-04,2026-02-17,7286.13,Approved,Water Damage
CLM0000310,POL001189,2025-09-10,2025-09-20,9518.1,Denied,Flood
CLM0000311,POL001341,2025-06-29,2025-07-16,4199.1,Approved,Wind
CLM0000312,POL000989,2025-08-21,,2649.32,Pending,Theft
CLM0000313,POL000447,2023-08-26,2023-08-27,1568.24,Denied,Fire
CLM0000314,POL001487,2024-07-19,2024-08-16,658.87,Approved,Water Damage
CLM0000315,POL000303,2023-09-25,,3773.27,Pending,Flood
CLM0000316,POL001392,2024-01-21,,2253.49,Pending,Collision
CLM0000317,POL000729,2024-11-26,2024-11-30,4753.92,Approved,Collision
CLM0000318,POL001056,2026-03-21,2026-04-06,5011.15,Approved,Theft
CLM0000319,POL001285,2024-10-12,2024-10-18,1959.04,Approved,Theft
CLM0000320,POL000813,2023-08-13,2023-09-04,1922.05,Approved,Theft
CLM0000321,POL001337,2025-10-02,2025-10-05,8107.57,Denied,Water Damage
CLM0000322,POL000950,2026-07-18,2026-08-10,3998.38,Approved,Wind
CLM0000323,POL000912,2024-12-11,2024-12-17,1682.05,Approved,Collision
CLM0000324,POL000250,2025-04-25,2025-05-14,3953.57,Approved,Theft
CLM0000325,POL000048,2024-02-05,2024-02-26,17397.99,Approved,Flood
CLM0000326,POL000561,2026-07-18,2026-08-06,5679.92,Denied,Theft
CLM0000327,POL000787,2026-05-05,,4953.78,Pending,Wind
CLM0000328,POL000889,2026-07-18,2026-07-24,1868.9,Approved,Fire
CLM0000329,POL000131,2025-04-20,2025-05-19,356.95,Approved,Wind
CLM0000330,POL000041,2026-03-07,2026-03-27,8168.4,Approved,Water Damage
CLM0000331,POL001086,2026-06-15,2026-07-14,4883.9,Approved,Injury
CLM0000332,POL001104,2024-12-27,2025-01-23,6049.29,Approved,Theft
CLM0000333,POL001349,2023-03-31,2023-04-22,7068.77,Approved,Wind
CLM0000334,POL000369,2022-09-19,2022-10-17,3108.91,Approved,Fire
CLM0000335,POL000252,2023-11-07,2023-11-16,1307.2,Approved,Wind
CLM0000336,POL000331,2022-10-10,2022-11-09,6442.53,Approved,Water Damage
CLM0000337,POL000072,2025-01-28,,1230.89,Pending,Injury
CLM0000338,POL000612,2023-07-22,,4968.95,Pending,Theft
CLM0000339,POL000867,2025-01-28,2025-02-09,2023.99,Approved,Collision
CLM0000340,POL001064,2025-04-11,2025-04-28,7844.56,Approved,Theft
CLM0000341,POL001182,2023-08-17,2023-09-05,5296.57,Approved,Fire
CLM0000342,POL001242,2026-07-18,2026-08-12,2329.65,Approved,Collision
CLM0000343,POL001358,2022-10-27,2022-11-05,1375.76,Approved,Theft
CLM0000344,POL000614,2024-10-16,,4039.72,Pending,Injury
CLM0000345,POL001131,2025-02-25,2025-03-08,7334.91,Approved,Theft
CLM0000346,POL001494,2025-07-14,2025-08-03,7566.56,Approved,Fire
CLM0000347,POL000534,2026-07-18,2026-07-26,8309.19,Approved,Flood
CLM0000348,POL000935,2023-10-22,,4864.04,Pending,Wind
CLM0000349,POL000872,2026-07-18,2026-07-27,10083.47,Approved,Collision
CLM0000350,POL001290,2022-05-21,,5015.87,Pending,Wind
CLM0000351,POL001323,2023-08-25,2023-09-13,1970.52,Denied,Wind
CLM0000352,POL001327,2026-07-18,2026-08-03,2466.94,Approved,Water Damage
CLM0000353,POL000315,2023-11-01,,8820.19,Pending,Flood
CLM0000354,POL000777,2026-05-16,,1965.45,Pending,Theft
CLM0000355,POL000159,2026-07-18,2026-07-24,1723.84,Approved,Wind
CLM0000356,POL001124,2023-07-04,2023-07-27,11042.84,Approved,Collision
CLM0000357,POL000744,2023-06-12,2023-06-17,4957.33,Denied,Water Damage
CLM0000358,POL000463,2023-09-15,2023-09-30,4977.25,Approved,Theft
CLM0000359,POL000776,2022-10-06,2022-10-10,7446.28,Denied,Theft
CLM0000360,POL001079,2026-07-18,2026-08-15,7308.39,Approved,Flood
CLM0000361,POL000196,2025-01-09,2025-01-30,3833.64,Approved,Water Damage
CLM0000362,POL000578,2023-09-17,2023-09-23,9485.92,Approved,Collision
CLM0000363,POL000350,2023-03-29,,11525.57,Pending,Flood
CLM0000364,POL000371,2023-02-18,2023-03-08,1293.95,Denied,Injury
CLM0000365,POL001218,2025-06-26,2025-07-03,5571.7,Approved,Fire
